cli_district_id,birthdate,lat_street,lon_street,frequency,gender
"[1,5]","[10,7]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Female
"[1,5]","[10,7]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[1,5]","[10,7]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK TYDNE,Male
"[1,5]","[10,7]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[1,5]","[10,7]","[-17.1768881,-31.42239885]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Female
"[4,6]","[11,7]","[-13.6325181,-9.97261455]","[-41.185298,-73.3392193]",POPLATEK MESICNE,Female
"[4,6]","[11,7]","[-13.6325181,-9.97261455]","[-41.185298,-73.3392193]",POPLATEK MESICNE,Male
"[4,6]","[11,7]","[-13.6325181,-9.97261455]","[-41.185298,-73.3392193]",POPLATEK MESICNE,Male
"[4,6]","[11,7]","[-13.6325181,-9.97261455]","[-41.185298,-73.3392193]",POPLATEK MESICNE,Female
"[4,6]","[11,7]","[-13.6325181,-9.97261455]","[-41.185298,-73.3392193]",POPLATEK MESICNE,Female
"[1,8]","[15,30]","[-17.1768881,-32.9156259]","[-60.7376665,-69.9796745]",POPLATEK MESICNE,Female
"[1,8]","[15,30]","[-17.1768881,-32.9156259]","[-60.7376665,-69.9796745]",POPLATEK MESICNE,Female
"[1,8]","[15,30]","[-17.1768881,-32.9156259]","[-60.7376665,-69.9796745]",POPLATEK MESICNE,Male
"[1,8]","[15,30]","[-17.1768881,-32.9156259]","[-60.7376665,-69.9796745]",POPLATEK MESICNE,Male
"[1,8]","[15,30]","[-17.1768881,-32.9156259]","[-60.7376665,-69.9796745]",POPLATEK MESICNE,Male
"[1,7]","[17,28]","[-12.07671465,-9.97261455]","[-34.82881443397737,-77.05315265]",POPLATEK MESICNE,Male
"[1,7]","[17,28]","[-12.07671465,-9.97261455]","[-34.82881443397737,-77.05315265]",POPLATEK MESICNE,Female
"[1,7]","[17,28]","[-12.07671465,-9.97261455]","[-34.82881443397737,-77.05315265]",POPLATEK MESICNE,Male
"[1,7]","[17,28]","[-12.07671465,-9.97261455]","[-34.82881443397737,-77.05315265]",POPLATEK MESICNE,Female
"[1,7]","[17,28]","[-12.07671465,-9.97261455]","[-34.82881443397737,-77.05315265]",POPLATEK MESICNE,Female
"[1,7]","[17,28]","[-12.07671465,-9.97261455]","[-34.82881443397737,-77.05315265]",POPLATEK MESICNE,Female
"[1,6]","[31,46]","[-17.1768881,-32.9197261]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Female
"[1,6]","[31,46]","[-17.1768881,-32.9197261]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Female
"[1,6]","[31,46]","[-17.1768881,-32.9197261]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[1,6]","[31,46]","[-17.1768881,-32.9197261]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Male
"[1,6]","[31,46]","[-17.1768881,-32.9197261]","[-46.9449733979337,-69.9796745]",POPLATEK MESICNE,Female
"[1,8]","[48,52]","[-30.7105131,-32.9019799]","[-62.0061887,-68.7969439]",POPLATEK MESICNE,Male
"[1,8]","[48,52]","[-30.7105131,-32.9019799]","[-62.0061887,-68.7969439]",POPLATEK MESICNE,Male
"[1,8]","[48,52]","[-30.7105131,-32.9019799]","[-62.0061887,-68.7969439]",POPLATEK MESICNE,Female
