cli_district_id,birthdate,lat_street,lon_street,card_type,gender
"[1,4]","[11,6]","[-13.6325181,-9.97261455]","[-67.811422151694,-73.3392193]",classic,Male
"[1,4]","[11,6]","[-13.6325181,-9.97261455]","[-67.811422151694,-73.3392193]",classic,Female
"[1,4]","[11,6]","[-13.6325181,-9.97261455]","[-67.811422151694,-73.3392193]",junior,Female
"[1,4]","[11,6]","[-13.6325181,-9.97261455]","[-67.811422151694,-73.3392193]",classic,Female
"[1,6]","[32,47]","[-13.6325181,-24.287880899999998]","[-53.83412901938374,-73.3392193]",classic,Male
"[1,6]","[32,47]","[-13.6325181,-24.287880899999998]","[-53.83412901938374,-73.3392193]",classic,Male
"[1,6]","[32,47]","[-13.6325181,-24.287880899999998]","[-53.83412901938374,-73.3392193]",classic,Male
"[1,6]","[32,47]","[-13.6325181,-24.287880899999998]","[-53.83412901938374,-73.3392193]",classic,Male
"[1,34]","[13,39]","[-33.9966839,-33.9966839]","[18.7196095,18.7196095]",classic,Male
"[1,34]","[13,39]","[-33.9966839,-33.9966839]","[18.7196095,18.7196095]",classic,Female
"[1,34]","[13,39]","[-33.9966839,-33.9966839]","[18.7196095,18.7196095]",junior,Male
"[1,34]","[13,39]","[-33.9966839,-33.9966839]","[18.7196095,18.7196095]",classic,Male
"[1,8]","[15,6]","[-22.36380235,3.7811582]","[-34.82881443397737,96.8082494]",gold,Male
"[1,8]","[15,6]","[-22.36380235,3.7811582]","[-34.82881443397737,96.8082494]",classic,Female
"[1,8]","[15,6]","[-22.36380235,3.7811582]","[-34.82881443397737,96.8082494]",junior,Female
"[1,8]","[15,6]","[-22.36380235,3.7811582]","[-34.82881443397737,96.8082494]",classic,Male
"[1,29]","[2,46]","[27.717902,33.9155475]","[-118.1855016,-93.24796]",classic,Male
"[1,29]","[2,46]","[27.717902,33.9155475]","[-118.1855016,-93.24796]",classic,Male
"[1,29]","[2,46]","[27.717902,33.9155475]","[-118.1855016,-93.24796]",classic,Female
"[1,29]","[2,46]","[27.717902,33.9155475]","[-118.1855016,-93.24796]",classic,Female
"[1,29]","[2,46]","[27.717902,33.9155475]","[-118.1855016,-93.24796]",classic,Female
"[1,29]","[2,46]","[27.717902,33.9155475]","[-118.1855016,-93.24796]",gold,Female
"[12,8]","[21,46]","[27.717902,34.10608]","[-80.72281,-82.3169059]",junior,Male
"[12,8]","[21,46]","[27.717902,34.10608]","[-80.72281,-82.3169059]",classic,Male
"[12,8]","[21,46]","[27.717902,34.10608]","[-80.72281,-82.3169059]",gold,Male
"[12,8]","[21,46]","[27.717902,34.10608]","[-80.72281,-82.3169059]",classic,Female
"[12,8]","[21,46]","[27.717902,34.10608]","[-80.72281,-82.3169059]",classic,Male
"[1,6]","[24,39]","[15.6574032,25.4577795]","[30.5480245,80.0065516]",classic,Female
"[1,6]","[24,39]","[15.6574032,25.4577795]","[30.5480245,80.0065516]",classic,Female
"[1,6]","[24,39]","[15.6574032,25.4577795]","[30.5480245,80.0065516]",classic,Female
"[1,6]","[24,39]","[15.6574032,25.4577795]","[30.5480245,80.0065516]",classic,Male
"[1,7]","[12,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[1,7]","[12,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[1,7]","[12,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[1,7]","[12,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[1,5]","[10,13]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Female
"[1,5]","[10,13]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",junior,Male
"[1,5]","[10,13]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Male
"[1,5]","[10,13]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Male
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",junior,Female
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[18,32]","[10,8]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Male
"[1,4]","[15,47]","[21.2391067,3.7407987]","[105.6758987,96.83378527646357]",classic,Female
"[13,9]","[13,20]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Male
"[13,9]","[13,20]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Female
"[13,9]","[13,20]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Male
"[13,9]","[13,20]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Female
"[16,28]","[13,31]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[16,28]","[13,31]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[16,28]","[13,31]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Male
"[16,28]","[13,31]","[-0.9398412,21.2391067]","[100.3535398,105.6758987]",classic,Female
"[1,15]","[38,9]","[-31.7631235,-4.9335876]","[116.0054635,144.6420693]",classic,Female
"[1,15]","[38,9]","[-31.7631235,-4.9335876]","[116.0054635,144.6420693]",junior,Male
"[1,15]","[38,9]","[-31.7631235,-4.9335876]","[116.0054635,144.6420693]",classic,Female
"[1,15]","[38,9]","[-31.7631235,-4.9335876]","[116.0054635,144.6420693]",classic,Female
"[18,32]","[12,8]","[-15.2562603,-33.8608832]","[116.0054635,167.151708]",classic,Female
"[18,32]","[12,8]","[-15.2562603,-33.8608832]","[116.0054635,167.151708]",classic,Male
"[18,32]","[12,8]","[-15.2562603,-33.8608832]","[116.0054635,167.151708]",junior,Male
"[18,32]","[12,8]","[-15.2562603,-33.8608832]","[116.0054635,167.151708]",classic,Female
"[1,4]","[18,43]","[-0.639722,13.760825]","[121.0627507,174.4279938]",gold,Female
"[1,4]","[18,43]","[-0.639722,13.760825]","[121.0627507,174.4279938]",classic,Female
"[1,4]","[18,43]","[-0.639722,13.760825]","[121.0627507,174.4279938]",junior,Female
"[1,4]","[18,43]","[-0.639722,13.760825]","[121.0627507,174.4279938]",classic,Female
"[1,4]","[18,43]","[-0.639722,13.760825]","[121.0627507,174.4279938]",classic,Female
"[1,4]","[18,43]","[-0.639722,13.760825]","[121.0627507,174.4279938]",classic,Male
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",classic,Male
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",classic,Female
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",classic,Female
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",classic,Female
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",classic,Female
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",classic,Male
"[1,4]","[23,47]","[13.760825,21.2391067]","[105.6758987,121.0627507]",junior,Male
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Female
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Female
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",gold,Female
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Female
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",gold,Female
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Male
"[11,7]","[23,28]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",classic,Male
"[1,6]","[12,33]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Male
"[1,6]","[12,33]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Male
"[1,6]","[12,33]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Male
"[1,6]","[12,33]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Female
"[1,6]","[12,33]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Female
"[1,6]","[12,33]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",junior,Male
"[1,7]","[33,48]","[21.2391067,22.315357849999998]","[105.6758987,114.0451497252082]",classic,Male
"[1,7]","[33,48]","[21.2391067,22.315357849999998]","[105.6758987,114.0451497252082]",classic,Male
"[1,7]","[33,48]","[21.2391067,22.315357849999998]","[105.6758987,114.0451497252082]",classic,Female
"[1,7]","[33,48]","[21.2391067,22.315357849999998]","[105.6758987,114.0451497252082]",classic,Female
"[1,7]","[33,48]","[21.2391067,22.315357849999998]","[105.6758987,114.0451497252082]",classic,Male
"[1,7]","[33,48]","[21.2391067,22.315357849999998]","[105.6758987,114.0451497252082]",classic,Female
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",junior,Male
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Female
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Male
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Female
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Male
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",junior,Male
"[11,31]","[17,9]","[21.2391067,34.76436245]","[105.6758987,137.62649011075342]",classic,Female
