cli_district_id,birthdate,acct_district_id,lat_street,lon_street,disp_type,gender
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",OWNER,Female
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",DISPONENT,Male
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",OWNER,Male
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",OWNER,Male
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",OWNER,Male
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",OWNER,Male
"[1,6]","[32,7]","[1,6]","[-13.6325181,-31.42239885]","[-52.4395976,-73.3392193]",OWNER,Female
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",DISPONENT,Female
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",OWNER,Male
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",OWNER,Female
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",OWNER,Female
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",OWNER,Female
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",OWNER,Male
"[1,9]","[13,45]","[1,9]","[12.1274041,35.5749326]","[-119.043001,70.8345928]",OWNER,Female
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Male
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Male
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Female
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Male
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Female
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Male
"[1,2]","[18,53]","[1,2]","[14.7117921,33.7865754]","[105.3672884,99.0967189]",OWNER,Male
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",OWNER,Male
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",OWNER,Male
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",OWNER,Male
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",DISPONENT,Female
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",OWNER,Female
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",OWNER,Male
"[16,7]","[15,48]","[1,7]","[12.28439,3.7520101]","[105.6758987,96.8200261]",OWNER,Male
"[1,6]","[18,6]","[1,6]","[-0.639722,14.1725899]","[106.780722,174.4279938]",OWNER,Female
"[1,6]","[18,6]","[1,6]","[-0.639722,14.1725899]","[106.780722,174.4279938]",OWNER,Female
"[1,6]","[18,6]","[1,6]","[-0.639722,14.1725899]","[106.780722,174.4279938]",OWNER,Male
"[1,6]","[18,6]","[1,6]","[-0.639722,14.1725899]","[106.780722,174.4279938]",OWNER,Female
"[1,6]","[18,6]","[1,6]","[-0.639722,14.1725899]","[106.780722,174.4279938]",OWNER,Female
"[1,6]","[18,6]","[1,6]","[-0.639722,14.1725899]","[106.780722,174.4279938]",DISPONENT,Female
"[10,9]","[26,52]","[10,9]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",OWNER,Female
"[10,9]","[26,52]","[10,9]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",DISPONENT,Male
"[10,9]","[26,52]","[10,9]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",OWNER,Male
"[10,9]","[26,52]","[10,9]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",OWNER,Male
"[10,9]","[26,52]","[10,9]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",OWNER,Female
"[10,9]","[26,52]","[10,9]","[21.2391067,21.2391067]","[105.6758987,105.6758987]",OWNER,Male
"[1,3]","[10,31]","[1,3]","[22.315357849999998,35.66317585]","[114.0451497252082,139.7435795]",OWNER,Male
